"PRO_COM","Municipality","IFC_decile","Year","GRINS_macroclass","GRINS_class","Period"
1001,"Agliè",3,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1002,"Airasca",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1003,"Ala di Stura",4,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1004,"Albiano d'Ivrea",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1006,"Almese",1,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1007,"Alpette",9,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1008,"Alpignano",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1009,"Andezeno",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1010,"Andrate",9,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1011,"Angrogna",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1012,"Arignano",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1013,"Avigliana",1,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1014,"Azeglio",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1015,"Bairo",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1016,"Balangero",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1017,"Baldissero Canavese",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1018,"Baldissero Torinese",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1019,"Balme",4,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1020,"Banchette",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1021,"Barbania",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1022,"Bardonecchia",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1023,"Barone Canavese",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1024,"Beinasco",6,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1025,"Bibiana",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1026,"Bobbio Pellice",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1027,"Bollengo",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1028,"Borgaro Torinese",3,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1029,"Borgiallo",9,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1030,"Borgofranco d'Ivrea",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1031,"Borgomasino",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1032,"Borgone Susa",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1033,"Bosconero",3,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1034,"Brandizzo",6,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1035,"Bricherasio",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1036,"Brosso",8,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1037,"Brozolo",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1038,"Bruino",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1039,"Brusasco",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1040,"Bruzolo",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1041,"Buriasco",3,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1042,"Burolo",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1043,"Busano",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1044,"Bussoleno",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1045,"Buttigliera Alta",3,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1046,"Cafasse",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1047,"Caluso",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1048,"Cambiano",2,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1049,"Campiglione Fenile",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1050,"Candia Canavese",2,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1051,"Candiolo",3,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1052,"Canischio",10,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1053,"Cantalupa",5,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1054,"Cantoira",5,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1055,"Caprie",5,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1056,"Caravino",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1057,"Carema",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1058,"Carignano",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1059,"Carmagnola",3,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1060,"Casalborgone",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1061,"Cascinette d'Ivrea",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1062,"Caselette",1,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1063,"Caselle Torinese",3,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1064,"Castagneto Po",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1065,"Castagnole Piemonte",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1066,"Castellamonte",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1067,"Castelnuovo Nigra",9,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1068,"Castiglione Torinese",2,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1069,"Cavagnolo",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1070,"Cavour",3,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1071,"Cercenasco",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1072,"Ceres",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1073,"Ceresole Reale",5,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1074,"Cesana Torinese",4,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1075,"Chialamberto",3,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1076,"Chianocco",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1077,"Chiaverano",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1078,"Chieri",2,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1079,"Chiesanuova",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1080,"Chiomonte",8,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1081,"Chiusa di San Michele",4,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1082,"Chivasso",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1083,"Ciconio",8,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1084,"Cintano",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1085,"Cinzano",7,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1086,"Ciriè",3,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1087,"Claviere",8,"2018","1 ITALIA INTERNA","1.2.1 - Interno prossimo scarsamente popolato","Pre-COVID"
1088,"Coassolo Torinese",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1089,"Coazze",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1090,"Collegno",4,"2018","3 ITALIA METROPOLITANA","3.2.1 - Area metropolitana de jure e de facto (non capoluogo)","Pre-COVID"
1091,"Colleretto Castelnuovo",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1092,"Colleretto Giacosa",1,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1093,"Condove",5,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1094,"Corio",6,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
1095,"Cossano Canavese",7,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
